cuda-nvprune-13-0	13.0.85-1	arm64
cuda-nvrtc-13-0	13.0.88-1	arm64
cuda-nvrtc-dev-13-0	13.0.88-1	arm64
cuda-nvtx-13-0	13.0.85-1	arm64
cuda-profiler-api-13-0	13.0.85-1	arm64
cuda-sanitizer-13-0	13.0.85-1	arm64
cuda-toolkit-13-0	13.0.3-1	arm64
cuda-toolkit-13-0-config-common	13.0.96-1	all
cuda-toolkit-13-config-common	13.3.29-1	all
cuda-toolkit-config-common	13.3.29-1	all
cuda-tools-13-0	13.0.3-1	arm64
cuda-visual-tools-13-0	13.0.3-1	arm64
cups	2.4.7-1.2ubuntu7.14	arm64
cups-browsed	2.0.0-0ubuntu10.3	arm64
cups-bsd	2.4.7-1.2ubuntu7.14	arm64
cups-client	2.4.7-1.2ubuntu7.14	arm64
cups-common	2.4.7-1.2ubuntu7.14	all
cups-core-drivers	2.4.7-1.2ubuntu7.14	arm64
cups-daemon	2.4.7-1.2ubuntu7.14	arm64
cups-filters	2.0.0-0ubuntu4.1	arm64
cups-filters-core-drivers	2.0.0-0ubuntu4.1	arm64
cups-ipp-utils	2.4.7-1.2ubuntu7.14	arm64
cups-pk-helper	0.2.6-1ubuntu8	arm64
cups-ppdc	2.4.7-1.2ubuntu7.14	arm64
cups-server-common	2.4.7-1.2ubuntu7.14	all
curl	8.5.0-2ubuntu10.13	arm64
dash	0.5.12-6ubuntu5	arm64
dbus	1.14.10-4ubuntu4.1	arm64
dbus-bin	1.14.10-4ubuntu4.1	arm64
dbus-daemon	1.14.10-4ubuntu4.1	arm64
dbus-session-bus-common	1.14.10-4ubuntu4.1	all
dbus-system-bus-common	1.14.10-4ubuntu4.1	all
dbus-user-session	1.14.10-4ubuntu4.1	arm64
dc	1.07.1-3ubuntu4	arm64
dconf-cli	0.40.0-4ubuntu0.1	arm64
dconf-gsettings-backend	0.40.0-4ubuntu0.1	arm64
dconf-service	0.40.0-4ubuntu0.1	arm64
debconf	1.5.86ubuntu1	all
debconf-i18n	1.5.86ubuntu1	all
debianutils	5.17build1	arm64
deja-dup	45.2-1build2	arm64
desktop-file-utils	0.27-2build1	arm64
dgx-dashboard	0.23.3	arm64
dgx-oobe	0.19.4	arm64
dgx-oobe-desktop	0.4.6-108	arm64
dgx-release	7.5.0	all
dgx-repo	25.10-2	arm64
dgx-spark-mlnx-hotplug	26.01-1	all
dgx-spark-ota-update-meta	26.03.1	all
dgxstation-desktop	25.11-1	all
dgxstation-grub	25.02-1	all
dhcpcd-base	1:10.0.6-1ubuntu3.2	arm64
dictionaries-common	1.29.7	all
diffutils	1:3.10-1ubuntu0.1	arm64
dirmngr	2.4.4-2ubuntu17.6	arm64
distro-info	1.7build1	arm64
distro-info-data	0.72-0ubuntu0.24.04.1	all
dmeventd	2:1.02.185-3ubuntu3.2	arm64
dmidecode	3.5-3ubuntu0.1	arm64
dmraid	1.0.0.rc16-12ubuntu2	arm64
dmsetup	2:1.02.185-3ubuntu3.2	arm64
dmz-cursor-theme	0.4.5ubuntu1	all
dnsmasq	2.91-0ubuntu0.24.04.1	all
dnsmasq-base	2.91-0ubuntu0.24.04.1	arm64
docbook-xml	4.5-12	all
docker-buildx-plugin	0.31.1-1~ubuntu.24.04~noble	arm64
docker-ce	5:29.2.1-1~ubuntu.24.04~noble	arm64
docker-ce-cli	5:29.2.1-1~ubuntu.24.04~noble	arm64
docker-compose-plugin	5.0.2-1~ubuntu.24.04~noble	arm64
dosfstools	4.2-1.1build1	arm64
dpkg	1.22.6ubuntu6.6	arm64
dpkg-dev	1.22.6ubuntu6.6	all
dracut-install	060+5-1ubuntu3.3	arm64
duplicity	2.1.4-3ubuntu2	arm64
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	arm64
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1	all
eatmydata	131-1ubuntu1	all
ed	1.20.1-1	arm64
efibootmgr	18-1build2	arm64
efivar	38-3.1build1	arm64
eject	2.39.3-9ubuntu6.6	arm64
emacsen-common	3.0.5	all
enchant-2	2.3.3-2build2	arm64
endeavour	43.0-1build3	arm64
endeavour-common	43.0-1build3	all
eog	45.3-1ubuntu2	arm64
espeak-ng-data	1.51+dfsg-12build1	arm64
ethtool	1:6.7-1build1	arm64
evince	46.3.1-0ubuntu1.1	arm64
evince-common	46.3.1-0ubuntu1.1	all
evolution-data-server	3.52.3-0ubuntu1.2	arm64
evolution-data-server-common	3.52.3-0ubuntu1.2	all
fdisk	2.39.3-9ubuntu6.6	arm64
file	1:5.45-3build1	arm64
file-roller	44.3-0ubuntu2	arm64
finalrd	9build1	all
findutils	4.9.0-5build1	arm64
firefox	1:1snap1-0ubuntu5	arm64
firefox-locale-de	1:1snap1-0ubuntu5	all
firefox-locale-en	1:1snap1-0ubuntu5	all
firefox-locale-es	1:1snap1-0ubuntu5	all
firefox-locale-fr	1:1snap1-0ubuntu5	all
firefox-locale-it	1:1snap1-0ubuntu5	all
firefox-locale-pt	1:1snap1-0ubuntu5	all
firefox-locale-ru	1:1snap1-0ubuntu5	all
firefox-locale-zh-hans	1:1snap1-0ubuntu5	all
firmware-sof-signed	2023.12.1-1ubuntu1.11	all
flex	2.6.4-8.2build1	arm64
fontconfig	2.15.0-1.1ubuntu2	arm64
fontconfig-config	2.15.0-1.1ubuntu2	arm64
fonts-arphic-ukai	0.2.20080216.2-5	all
fonts-arphic-uming	0.2.20080216.2-10ubuntu2	all
fonts-beng	2:1.3	all
fonts-beng-extra	3.3.1-2	all
fonts-cantarell	0.303.1-1	all
fonts-dejavu-core	2.37-8	all
fonts-dejavu-mono	2.37-8	all
fonts-deva	2:1.4	all
fonts-deva-extra	3.0-6	all
fonts-droid-fallback	1:6.0.1r16-1.1build1	all
fonts-gargi	2.0-6	all
fonts-gubbi	1.3-7	all
fonts-gujr	2:1.5	all
fonts-gujr-extra	1.0.1-2	all
fonts-guru	2:1.3	all
fonts-guru-extra	2.0-5	all
fonts-indic	2:1.4	all
fonts-kacst	2.01+mry-15	all
fonts-kacst-one	5.0+svn11846-10	all
fonts-kalapi	1.0-5	all
fonts-khmeros-core	5.0-9ubuntu1	all
fonts-knda	2:1.3	all
fonts-lao	0.0.20060226-10ubuntu2	all
fonts-liberation	1:2.1.5-3	all
fonts-liberation2	1:2.1.5-3	all
fonts-lklug-sinhala	0.6-4	all
fonts-lohit-beng-assamese	2.91.5-2	all
fonts-lohit-beng-bengali	2.91.5-3	all
fonts-lohit-deva	2.95.4-5	all
fonts-lohit-gujr	2.92.4-4	all
fonts-lohit-guru	2.91.2-3	all
