case,operations,wall_seconds,ops_per_second,median_block_tflops,block_cv,energy_j,joules_per_matmul,coverage,energy_status
p1-off,1796,2.000967315165326,897.5658854535608,6.000454214236947e-05,0.004812477258679009,,,0.0,unavailable: missing/short/invalid power trace
p1-on,1787,2.000330236973241,893.3524909886693,6.0022180692134536e-05,0.006946479532328895,,,0.0,unavailable: missing/short/invalid power trace
