case,operations,wall_seconds,ops_per_second,median_block_tflops,block_cv,energy_j,joules_per_matmul,coverage,energy_status
p1-off,19200,30.108242557849735,637.6991271778575,87.65408305346114,0.003041673555155562,,,0.0,unavailable: missing/short/invalid power trace
p1-on,18944,30.081866228953004,629.7481630899249,86.85761810585356,0.006931114382286989,2617.2093961340856,0.1381550568060645,1.0,sensor-domain estimate
p2-on,18944,30.081957271089777,629.7462571760949,86.84706181914103,0.006596461925235157,2622.2545937746445,0.13842137847205682,1.0,sensor-domain estimate
p2-off,19200,30.292638410115615,633.8173565491921,87.14153705036654,0.002031752713353675,,,0.0,unavailable: missing/short/invalid power trace
p3-off,19200,30.290904818102717,633.8536308273475,87.13445832882626,0.0014066212958791398,,,0.0,unavailable: missing/short/invalid power trace
p3-on,18944,30.10834796493873,629.1942693787234,86.84129079833964,0.0066329381933748835,2610.7386746266843,0.1378134857805471,1.0,sensor-domain estimate
