trial,seconds,tflops,sample
1,0.0029766890220344067,46.17175407126266,-66.5
2,0.0029338899767026305,46.84529909552582,-66.5
3,0.001666566007770598,82.4683527872113,-66.5
4,0.0017045500571839511,80.63063498355677,-66.5
5,0.0016364700277335942,83.98501111709581,-66.5
6,0.0016168860020115972,85.00225328255036,-66.5
7,0.0016144069959409535,85.13277867201883,-66.5
8,0.001658582012169063,82.86533464345237,-66.5
9,0.0016716859536245465,82.21577334786184,-66.5
10,0.0016683569992892444,82.37982250234927,-66.5
