timestamp_utc,mem_available_kb,swap_free_kb,load1,gpu_util_pct,gpu_temp_c,gpu_power_w
2026-09-11T13:36:30Z,122794880,16777212,0.42,0,42,12.70
2026-09-11T13:36:31Z,122512384,16777212,0.42,0,42,10.47
2026-09-11T13:36:32Z,122152584,16777212,0.42,0,49,12.85
