trial,seconds,tflops,sample
1,0.0028399560251273215,48.39474705099995,-66.5
2,0.0029060030356049538,47.29484167362158,-66.5
3,0.001628199010156095,84.41164293474405,-66.5
4,0.0016321020084433258,84.20978147259753,-66.5
5,0.0015846950118429959,86.72896200522452,-66.5
6,0.0016344389878213406,84.08937531232176,-66.5
7,0.0016862780321389437,81.50432541522636,-66.5
8,0.0016360870213247836,84.00467192797116,-66.5
9,0.0016250950284302235,84.57287178138776,-66.5
10,0.001663206028752029,82.63495387587432,-66.5
