trial,seconds,tflops,sample
1,0.0028853630064986646,47.633158518511564,-66.5
2,0.0033423799904994667,41.12008624473062,-66.5
3,0.0021439979900605977,64.10404958827198,-66.5
4,0.0016591579769738019,82.8365685362161,-66.5
5,0.001770228031091392,77.63912391968242,-66.5
6,0.0016358790453523397,84.01535178439678,-66.5
7,0.0017210289952345192,79.85859265158494,-66.5
8,0.0016581660020165145,82.88612437166057,-66.5
9,0.0017101970151998103,80.36439793221273,-66.5
10,0.001688310003373772,81.40623060774026,-66.5
